YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2020",CA,CDF,NEU,NELSON,"00013212",2020/06/18,2020/06/23,"11",,110.00000000000,109.60300000000,"1","1",,3252.52327974000,443544.67479500000,"Polygon ((-121.35503991 38.88610579, -121.34016902 38.88610579, -121.34016902 38.89047779, -121.35503991 38.89047779, -121.35503991 38.88610579))"
"2020",CA,CDF,NEU,AMORUSO,"00011799",2020/06/01,2020/06/04,"2",,670.00000000000,685.58500000000,"1","1",,9653.76030782000,2774464.03450000007,"Polygon ((-121.38774723 38.8157549, -121.35142636 38.8157549, -121.35142636 38.8379682, -121.38774723 38.8379682, -121.38774723 38.8157549))"
"2020",CA,CDF,NEU,ATHENS,"00018493",2020/08/10,2020/03/01,"14",,26.00000000000,27.30050000000,"1","1",,1649.64323523000,110481.12525300001,"Polygon ((-121.33875032 38.84188355, -121.33171061 38.84188355, -121.33171061 38.84564912, -121.33875032 38.84564912, -121.33875032 38.84188355))"
"2020",CA,CDF,NEU,FLEMING,"00007619",2020/03/31,2020/04/01,"9",,13.00000000000,12.93160000000,"1","1",,1577.15585674000,52332.10866380000,"Polygon ((-121.27579228 38.96093014, -121.27047103 38.96093014, -121.27047103 38.9635779, -121.27579228 38.9635779, -121.27579228 38.96093014))"
"2020",CA,CDF,NEU,MELANESE,"00008471",2020/04/14,2020/04/19,"18",,10.30000000000,10.31600000000,"1","1",,1035.78762517000,41747.22445190000,"Polygon ((-121.30249573 39.48543263, -121.29867484 39.48543263, -121.29867484 39.48721454, -121.30249573 39.48721454, -121.30249573 39.48543263))"
"2020",CA,CDF,NEU,PFE,"00014858",2020/07/05,2020/07/05,"14",,36.00000000000,36.70190000000,"1","1",,2348.11404280000,148527.44900399999,"Polygon ((-121.38328447 38.72883457, -121.37869143 38.72883457, -121.37869143 38.73465547, -121.38328447 38.73465547, -121.38328447 38.72883457))"
"2020",CA,DOD,,VALLEY,"00015865",2020/07/15,2020/07/16,"14",Beale Air Force Base,377.00000000000,376.91000000000,"1","1",,7596.63958341000,1525302.29774999991,"Polygon ((-121.37717356 39.11407973, -121.36191356 39.11407973, -121.36191356 39.14125973, -121.37717356 39.14125973, -121.37717356 39.11407973))"
"2020",CA,CDF,NEU,WALDO,"00015275",2020/07/09,2020/07/12,"9",,10.70000000000,10.10220000000,"1","1",,1104.87797753000,40882.19980360000,"Polygon ((-121.30619022 39.13320238, -121.30365711 39.13320238, -121.30365711 39.13618059, -121.30619022 39.13618059, -121.30619022 39.13320238))"
"2020",CA,CDF,NEU,WILLOW,"00006064",2020/03/10,2020/03/11,"5",,34.00000000000,33.97390000000,"1","1",,1912.35863448000,137487.45518799999,"Polygon ((-121.31960551 39.39648868, -121.31503751 39.39648868, -121.31503751 39.40267068, -121.31960551 39.40267068, -121.31960551 39.39648868))"
"2020",CA,CDF,NEU,WILLOWS,"00021423",2020/09/09,2020/10/13,"7",,1311.00000000000,1309.09000000000,"3","1",,11758.46391790000,5297698.93630999979,"Polygon ((-121.3529405 39.36172169, -121.31176951 39.36172169, -121.31176951 39.38530268, -121.3529405 39.38530268, -121.3529405 39.36172169))"
